track_id,artist_name,track_name,album_name,album_release_date,duration_ms,explicit,track_number,disc_number,track_popularity,album_popularity,track_vs_album_popularity,artist_popularity,artist_followers,album_vs_artist_popularity,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,energy_danceability_score
3wbOBo0jN7EO8K0hUn6d4w,Deutsche Hörbücher,Kapitel 14 - Der Graf von Monte Christo - Hörbuch Klassiker,Der Graf von Monte Christo - Hörbuch Klassiker,2025-05-28,185144,0,14,1,2,19,1.6203703703703705,45,3362,1.0673560648406932,90.732,7,0,0.669,0.178,-19.102,0.949,0.44,0.0,0.466,0.868,0.11908200000000001
3wbOBo0jN7EO8K0hUn6d4w,Hörbuch Klassiker,Kapitel 14 - Der Graf von Monte Christo - Hörbuch Klassiker,Der Graf von Monte Christo - Hörbuch Klassiker,2025-05-28,185144,0,14,1,2,19,1.6203703703703705,37,354,1.0673560648406932,90.732,7,0,0.669,0.178,-19.102,0.949,0.44,0.0,0.466,0.868,0.11908200000000001
3wbOCrP1QSjQvNyesMgH1O,The Modern Times,Superficiality,This Is the Modern Times,2017-01-27,230880,0,12,1,1,4,0.44999999999999996,2,1439,1.0,164.891,2,1,0.346,0.658,-6.997,0.0329,0.0744,0.0149,0.138,0.155,0.22766799999999998
3wbODMGq3xC5EhiDgBH0J1,Milky Bay,Remember Me (Cut),"Pills for Living Room, Vol. 4",2021-09-20,143385,0,7,1,2,3,1.391304347826087,14,115,1.0,113.962,9,0,0.664,0.934,-10.214,0.0402,0.296,0.916,0.0945,0.159,0.6201760000000001
3wbOPKoCJW8A2HI1BXl1re,Melody Klaver,Hoofdstuk 93 - Ik weet een geheim,Ik weet een geheim (Onverkort),2018-11-28,181468,0,93,1,1,12,0.9838709677419355,7,6,1.0,188.326,8,0,0.609,0.0815,-19.142,0.955,0.852,0.0,0.186,0.299,0.049633500000000004
3wbOPKoCJW8A2HI1BXl1re,Tess Gerritsen,Hoofdstuk 93 - Ik weet een geheim,Ik weet een geheim (Onverkort),2018-11-28,181468,0,93,1,1,12,0.9838709677419355,42,5873,0.5495750708215297,188.326,8,0,0.609,0.0815,-19.142,0.955,0.852,0.0,0.186,0.299,0.049633500000000004
3wbOT5KORbYfJh0eywZAb1,Rahat Fateh Ali Khan,"Tere Bina (From ""Tezz"")",Bahut Pyar Karte Hai - Bollywood Romantic Songs,2016-04-25,311933,0,2,1,6,33,0.6754491017964072,76,25206720,1.7621359223300972,129.891,11,0,0.643,0.739,-4.52,0.0308,0.454,0.0,0.362,0.922,0.475177
3wbOXBoa9kEzIBCYNZ5cH3,Stardust Revue,LADY PINK PANTHER,ALWAYS,2008-11-19,217013,0,4,1,2,12,0.36,45,129963,0.9719239228878251,150.151,4,0,0.736,0.455,-8.423,0.053,0.711,4.33e-06,0.162,0.777,0.33488
3wbOXGHY4aCNgZjHPFa86E,Kid Ory,Make Me a Pallet on the Floor,Ultimate Greats 1922-55,2010-05-01,354506,0,13,2,2,3,0.6666666666666666,26,13071,0.3128834355828221,115.297,0,0,0.634,0.254,-15.654,0.181,0.587,0.749,0.171,0.659,0.161036
3wbOXiRT6Wg3kt2umw4zPc,Jueun,"Don't Go Home, Talk To Me (feat. KODI GREEN & JUEUN)",Seoul Vibes Pt.11,2019-10-02,194226,0,3,1,4,4,1.1111111111111112,2,12,1.0,77.034,5,1,0.539,0.667,-6.022,0.333,0.721,9.42e-06,0.107,0.43,0.359513
3wbOXiRT6Wg3kt2umw4zPc,KODI GREEN,"Don't Go Home, Talk To Me (feat. KODI GREEN & JUEUN)",Seoul Vibes Pt.11,2019-10-02,194226,0,3,1,4,4,1.1111111111111112,29,3262,1.6,77.034,5,1,0.539,0.667,-6.022,0.333,0.721,9.42e-06,0.107,0.43,0.359513
3wbOXiRT6Wg3kt2umw4zPc,KozyPop,"Don't Go Home, Talk To Me (feat. KODI GREEN & JUEUN)",Seoul Vibes Pt.11,2019-10-02,194226,0,3,1,4,4,1.1111111111111112,35,37306,0.44927536231884063,77.034,5,1,0.539,0.667,-6.022,0.333,0.721,9.42e-06,0.107,0.43,0.359513
3wbOYXRsUWihbRZEROntwX,Alex Somers,No One Lives Here,Here We Are (Apple TV+ Original Motion Picture Soundtrack),2020-04-17,96448,0,27,1,1,11,0.4666666666666667,39,17524,0.7253017434063478,131.402,2,1,0.323,0.425,-18.351,0.0559,0.922,0.889,0.491,0.315,0.137275
3wbOYg9GPB3VgdFzn5iAt5,The Irish Brigade,"Hungerstrike Trilogy: Roll of Honour, Hughes Lives on, Farewell to Bellaghy (Live)",Live at Grace’s 18 Irish Rebel Songs,2019-12-15,664746,0,1,1,10,21,0.8588957055214724,43,37787,1.0576540755467196,125.363,7,1,0.469,0.719,-6.437,0.0666,0.708,0.0,0.452,0.785,0.337211
3wbOb294qILYebAcqivSdp,KAVARI,Valac,Rumination At The Abattoir,2025-03-28,249931,0,4,1,14,20,1.2606635071090049,29,12539,1.0,144.839,1,1,0.586,0.488,-11.232,0.406,0.0546,0.701,0.108,0.193,0.285968
